 TIME || TYPE || TITLE || STATUS 

28/11/2019, 15:31  || others || Simon Bridges is at Radius Fulton. || Meeting people like I did today at the Radius Fulton Rest Home is such a privilege. Thank you for having me, I hope to return soon.||
04/11/2019, 17:48  || others || Simon Bridges || Kiwis aren't buying the Government's spin. Labour is failing to deliver on its promises.||
03/11/2019, 07:15  || others || Simon Bridges || This week, I launched National's Social Services Discussion Document, packed full of ideas to help Kiwis live better lives. Part of that is making sure there is accountability in our welfare system. Most New Zealanders agree being on the dole shouldn't be a long-term lifestyle choice. I sat down with Newshub Nation to talk about it.||
02/11/2019, 07:15  || others || Simon Bridges || Last time National was in government, we moved thousands off the dole and into work. Under Labour, 22,000 more Kiwis are on the dole. This week, I launched our Social Services Discussion Document, which is packed full of plans to help Kiwis live better lives. I am aspirational for New Zealanders and, in Government, National will get this country back on track. Read our Discussion Document here: https://www.national.org.nz/social_services||
31/10/2019, 19:05  || others || Simon Bridges || Packed house tonight in Napier. Heaps of interest in National’s Social Services Discussion Document which is packed full of ideas to help Kiwis live better lives.||
30/10/2019, 17:00  || others || Simon Bridges || I’m a big believer that families are the best form of welfare. That's why under National, Kiwi kids and their parents will get the support they need in those vital first 1,000 days. For those of you who don’t know my story, my beautiful wife Natalie and I have been married for 14 years. She’s phenomenal. She runs her own business and is a wonderful mother to our three children Emlyn, Harry and Jemima. I’m away from home a lot and I’m constantly in awe of how she juggles ever... See more||
30/10/2019, 13:43  || others || Simon Bridges || National believes social services should be a hand-up, not a hand-out. We’re proposing measures that respond to Kiwis' diverse needs, whether they’re new parents, looking for work, vulnerable children or struggling to find a place to live. Today I launched National's Social Services Discussion Document, as part of the biggest policy development process by an Opposition ever. The current Government has no plan to grow the economy and is failing to deliver for New Zealanders. We’re doing the work now in Opposition so we’re ready to hit the ground running in 2020.||
30/10/2019, 12:46  || others || Simon Bridges was live. || I’m going #LIVE launching National’s Social Services Discussion Document||
30/10/2019, 09:43  || others || Simon Bridges || Small business owners often have to prove where their income and assets come from. Gang members should have to do the same if they want the dole.||
29/10/2019, 17:30  || others || Simon Bridges || #BREAKING: National will block gang members from receiving a benefit if they can't prove they don't have illegal income or assets. As a Crown Prosecutor, I saw firsthand the misery gangs peddle. As Prime Minister, I'll make sure gangs can't exploit taxpayers. Stay tuned tomorrow as National releases our Social Services Discussion Document.||
29/10/2019, 12:21  || others || Simon Bridges || Kicked off a day in the Northcote electorate with Dan Bidois MP this morning. Great to talk to the Birkenhead College senior school about various topics. These kids all have bright futures in Aotearoa. Cheers for having us.||
27/10/2019, 09:27  || others || Simon Bridges || Happy Diwali from the National Party!||
26/10/2019, 21:54  || others || Simon Bridges || Bedtime amnesty for tonight at our place. Tense first half. C’mon boys! #BackingBlack.||
26/10/2019, 17:53  || others || Simon Bridges || Visited the Tauranga Fringe Village with my little ones today. Now gearing up for a big night. Go the ABs! #BackingBlack.||
26/10/2019, 07:18  || others || Simon Bridges || Belter of a day at the Hawke’s Bay A&P Show yesterday. Particular highlight was being given the opportunity to judge some cattle. Love getting out and about and talking to Kiwis about what matters to them. More and more are telling me they can’t afford this Government. National has a plan to help Kiwis get ahead.||
25/10/2019, 10:38  || others || Simon Bridges was live. || I’m going #LIVE at Hawke’s Bay A&P Show||
24/10/2019, 18:40  || others || Simon Bridges || ||
23/10/2019, 18:04  || others || Simon Bridges || It’s clear that Labour’s Auckland light rail promise is KiwiBuild 2.0. This is what the PM said when she made her light rail promise to Kiwis: “Under Labour we are going to build light rail from our CBD to our airport. But I’m not just committed to that, I’m committed to starting straight away… We don’t just believe it, we’ll do it.” Like KiwiBuild, 1800 new police, immigration and health commitments, light rail is just another promise Labour has failed to deliver on.... See more||
23/10/2019, 07:40  || others || Simon Bridges || I visited the SkyCity Convention Centre recently and spoke to workers who were so proud of what they’d built. They will be devastated. Thinking of them and of course our firefighters who are working to get this under control.||
19/10/2019, 19:59  || others || Simon Bridges || ||
17/10/2019, 10:51  || others || Simon Bridges || A reality check for the media commentators focused on legitimising and softening the image of violent gangs. Gangs do nothing but peddle misery and create victims and they've grown by 26% under Labour. As a Crown Prosecutor, I saw first-hand the damage they do to New Zealand. I don't buy into their spin. My Government will crack down hard on gangs.||
16/10/2019, 11:59  || others || Simon Bridges || Gang numbers are up in my region under Labour. Our communities shouldn't be overrun by gangs peddling violence and misery. But they are under this soft-on-crime Government. Families across New Zealand deserve to feel safe. National will crack down hard on gangs.||
12/10/2019, 13:11  || others || Simon Bridges || Happy Diwali! Great to be at celebrations in Auckland today with some of the National Party team.||
11/10/2019, 13:10  || others || Simon Bridges || Very sad to hear that Blair Vining has passed away. Blair was a relentless fighter until the end and his advocacy will help see the change Kiwis deserve. Natalie and I are thinking of Melissa and their daughters today.||
10/10/2019, 10:54  || others || Simon Bridges || Couldn’t have put this better myself.||
09/10/2019, 15:34  || others || Simon Bridges || I was on Newstalk ZB with Kerre McIvor today talking about the issues that matter to Kiwis. Listen to it here:||
09/10/2019, 12:26  || others || Simon Bridges || More PR from the gangs. If they want to help combat meth, they should stop selling it.||
09/10/2019, 10:00  || others || Simon Bridges || If you've got a $7.5 billion surplus, you're overtaxing Kiwis. Grant Robertson only has more because you have less.||
08/10/2019, 16:45  || others || Simon Bridges || Waikato Mongrel Mob President, Sonny Fatupaito, sent me an invitation earlier this week to an event he is hosting. Here's how I responded: Dear Sonny, You will no doubt have seen my comments recently about gangs, including the Mongrel Mob over the last few days. Gangs have been emboldened in recent times and I am deeply concerned by the swelling in gang numbers. ... See more||
07/10/2019, 18:14  || others || Simon Bridges || Gang numbers are up 26% under this soft-on-crime Government. Before becoming an MP, I was a Crown Prosecutor. It was my job to put criminals away and I dealt with several cases of gang members committing horrific acts of violence and intimidation. I saw first-hand the misery the gangs peddle and the way they take advantage of vulnerable young people and infect our communities. I’ve prosecuted gang members for serious violent and sexual offending. I’ve looked them in the eyes ... See more||
07/10/2019, 16:40  || others || Simon Bridges || Visited beautiful Gisborne recently with Anne Tolley. Packed day around town meeting a range of great Kiwis.||
04/10/2019, 15:10  || others || Simon Bridges || Our farmers feed the world and Kiwis are better off because of it. This Government is ignorant to farming's importance. National backs our farmers.||
01/10/2019, 17:00  || others || Simon Bridges || Labour has only managed to build 286 KiwiBuild houses. Now the PM has effectively cancelled another 480 houses by getting involved in Ihum01/10/2019, 14:35  || others || Simon Bridges || Phil Twyford has decided a bunch of regional roading projects, including the Tauranga Northern Link, are of "very low economic value" and should be cancelled or stalled. This project was ready-to-go and absolutely crucial to the people in my electorate who are forced to drive an unsuitable and unsafe road. This is arrogance from Labour, plain and simple.||
30/09/2019, 20:11  || others || Simon Bridges || Had a look around Emirates Team New Zealand HQ with Nikki Kaye and Todd McClay MP last week. Great bunch of innovative, determined Kiwis.||
30/09/2019, 16:51  || others || Simon Bridges || Recently I spoke at the Infrastructure New Zealand conference in Rotorua. It’s frustrating to watch what this Government is doing, or not doing around infrastructure. It’s not just physically slowing us down, it’s slowing down the entire economy. Today's dismal business confidence numbers show exactly that. The failure to deliver a high-quality infrastructure plan has destroyed confidence in the construction sector and contributed to New Zealand’s slowing economy.... See more||
26/09/2019, 19:47  || others || Simon Bridges || Here’s the picture I mentioned on The Project NZ tonight. My littlest one Jemima all dressed up for All Blacks day at kindy today.||
26/09/2019, 18:47  || others || Simon Bridges || Join me and Paddy on The Project NZ at 7 on Three. Don’t miss it!||
26/09/2019, 09:27  || others || Simon Bridges || Kiwis are struggling under Labour. The fact is, without a strong economy, we can't invest in world-class healthcare, education and infrastructure. National knows how to deliver a strong economy. It's clear New Zealanders can't afford a Government that doesn't.||
24/09/2019, 12:25  || others || Simon Bridges || Internal Affairs Minister Tracey Martin needs to immediately explain how a convicted paedophile has been allowed to be involved in meetings at the Royal Commission of Inquiry into Abuse in State Care. As a father and a former Crown Prosecutor, I find it unconscionable that a paedophile was allowed anywhere near this Royal Commission. Tracey Martin needs to be upfront about when she was made aware of this and what action she took. When she found out, she should have ensured immediately that he had absolutely no further connection with this inquiry.||
23/09/2019, 11:22  || others || Simon Bridges || Loved visiting the Waitaki electorate with Jacqui Dean MP last week. We met with a range of local businesses and education providers to talk about the challenges they're facing. Here we are with some of the local winemakers who work incredibly hard to make a top-shelf product for local and overseas markets. Great Kiwis.||
21/09/2019, 21:05  || others || Simon Bridges || ||
17/09/2019, 12:23  || others || Simon Bridges || Talking to media before Caucus this morning. The Prime Minister and her Government have a lot of questions to answer and our National team is working hard to hold them to account.||
16/09/2019, 16:08  || others || Simon Bridges || Excellent meeting with UK Secretary of State for International Trade Elizabeth Truss in Wellington today. A great opportunity to discuss how we can strengthen the relationship between our countries, especially on trade.||
13/09/2019, 14:11  || others || Simon Bridges || Great to see Australian Labor Party Leader Anthony Albanese today in Auckland. We might be from different sides of politics but there’s always good camaraderie between opposition leaders.||
10/09/2019, 11:55  || others || Simon Bridges || Kicking off another week in Parliament holding this Government to account.||
08/09/2019, 21:34  || others || Simon Bridges || Travelling from India to China has been fascinating. After their billion plus populations, comparison between the two becomes much harder. China in its large cities is now incredibly developed and sophisticated. The infrastructure is impressive. We travelled between Shanghai and Beijing by fast train and it was, well, fast. Around 330km an hour. The more senior Ministers and Politburo members I met personified the story of China in the last few decades. When they grew up so... Continue reading||
07/09/2019, 07:00  || others || Simon Bridges || I’ve just wrapped up a visit to India. Indian friends had warned me that from the moment I left the airport it would be an assault on my senses. I found it invigorating, exciting. It never sleeps. It is always on. The potential opportunities for New Zealand are enormous. At the moment we do about $3 billion in two-way trade. The obvious comparison is with China where we have a colossal $30 billion and growing. It’s not as if there aren’t consumers for our goods and services. ... See more||
06/09/2019, 14:17  || others || Simon Bridges || Check out some of the work I've been doing in my Tauranga electorate this month here:||
05/09/2019, 16:47  || others || Simon Bridges || ||
04/09/2019, 17:50  || others || Simon Bridges || Labour promised big on KiwiBuild. But they've well and truly failed to deliver. Here's what happened in today's KiwiBuild reset:||
02/09/2019, 20:27  || others || Simon Bridges || Great to meet with Subrahmanyam Jaishankar, India’s Minister of External Affairs in Delhi today. We talked about how we can strengthen the relationship between New Zealand and India.||
02/09/2019, 17:22  || others || Simon Bridges || Always love visiting Vanguard Military School. Last week, Erica Stanford MP and I joined the team for their fitness test. These young people are proud of their school and what they've achieved here. I'm proud of them too. Don't ask how I did in the fitness test.||
01/09/2019, 10:00  || others || Simon Bridges || A Father’s Day message from my little ones while I’m away. Love them to bits.||
31/08/2019, 08:08  || others || Simon Bridges || ||
29/08/2019, 10:35  || others || Simon Bridges || Packed house in East Coast Bays with Erica Stanford MP this morning. Love getting around the place talking to Kiwis about what matters to them.||
26/08/2019, 19:22  || others || Simon Bridges || This morning I released our Economic Discussion Document. As Prime Minister, I will restore confidence in our economy and back New Zealanders to succeed. This document is part of the biggest policy development process by an Opposition ever. The current Government has no plan to grow the economy and is failing to deliver for New Zealanders. We’re doing the work now in Opposition so we’re ready to hit the ground running in 2020.... See more||
26/08/2019, 11:52  || others || Simon Bridges || I've just launched our Economic Discussion Document. This document is part of the biggest policy development process by an Opposition ever. The current Government has no plan to grow the economy and is failing to deliver for New Zealanders. We’re doing the work now in Opposition so we’re ready to hit the ground running in 2020. National will require all government departments and agencies to pay their contractors on time and within 30 days, work with corporates to establish a 'Small Business Payments Guarantee', repeal 100 regulations in our first six months and rebuild confidence in our economy. Read more here and share your thoughts here:||
26/08/2019, 10:34  || others || Simon Bridges was live. || #LIVE Simon Bridges launches National’s Economic Discussion Document||
22/08/2019, 17:46  || others || Simon Bridges || Out and about in Botany today with Simeon Brown. A great reception from a fantastic community.||
21/08/2019, 10:11  || others || Simon Bridges || If the Government was serious about petrol prices, they wouldn't keep piling on more taxes. I'll get rid of the Regional Fuel Tax. No ifs, no buts.||
20/08/2019, 14:40  || others || Simon Bridges || New Zealanders are being fleeced at the petrol pump. The reality is that the biggest fleecer is Jacinda Ardern's Government with all the taxes it's piled on.||
19/08/2019, 17:45  || others || Simon Bridges || I remember prosecuting Jason Reihana like it was yesterday. His victims' families deserve better from Kelvin Davis and his department.||
17/08/2019, 19:57  || others || Simon Bridges || Date night with Natalie. Let’s go ABs!||
17/08/2019, 09:31  || others || Simon Bridges || Jason Reihana carried out what can only be described as the brutal and heartless murders of the mother of his children and her new partner. I know how terrible the murders were because I was the Crown Prosecutor in this case. I remember it like it was yesterday, the murders were gruesome, premeditated and were carried out in cold blood. Reihana was sentenced to a minimum of 21-years in prison. The families of his victims were not informed he was going to be released nine year... See more||
15/08/2019, 18:19  || others || Simon Bridges || At The Cookie Project today with Melissa Lee MP getting a few pointers from Brad and the team. What a fantastic organisation.||
15/08/2019, 12:18  || others || Simon Bridges || In Nelson earlier this week with Nick Smith. Locals don’t want to see NMIT stripped of its assets and controlled by a head office away from Nelson under Labour. Our regions can’t afford Labour’s ideological polytech reforms. I’ll fight for regional education.||
12/08/2019, 15:04  || others || Simon Bridges added an event. || ||
12/08/2019, 12:48  || others || Simon Bridges || Loved getting around Auckland last Monday meeting some of our Cook Islands community with Agnes Loheni.||
09/08/2019, 13:33  || others || Simon Bridges || Great to visit New Zealand Steel with Andrew Bayly MP this morning. The steel produced here by locals was used in some of National’s vital infrastructure projects like the Waterview Tunnel. New Zealand needs more infrastructure investment. Not a Government that cancels roading projects across the country to fund a tram down Dominion Road that they haven’t even started.||
08/08/2019, 17:57  || others || Simon Bridges || ||
07/08/2019, 16:27  || others || Simon Bridges || At our Annual Conference I highlighted the story of Tracey Elliott who is paying $8,000 every three weeks for life-saving cancer drugs. I'm pleased to see Pharmac is committing to funding the drugs Tracey needs to stay alive. It's a good start but this Government hasn't put enough into Pharmac. New Zealanders shouldn’t have to set up Givealittle pages just to stay alive.... See more||
04/08/2019, 08:40  || others || Simon Bridges || #SignThePetition to stop Labour's Car Tax. Even though Associate Minister of Transport Julie Anne Genter reckons a $3000 Car Tax is just a 'small fee,' it's clear New Zealanders can't afford another tax from this Government.||
03/08/2019, 08:00  || others || Simon Bridges || I want every Kiwi to know that National backs you to succeed. Last weekend I shared how my Government will build a better New Zealand and invest in the cancer care Kiwis deserve. As Prime Minister, my Government will invest $200 million extra into life-saving cancer drugs and establish a National Cancer Agency.||
02/08/2019, 17:00  || others || Simon Bridges added an event. || ||
02/08/2019, 15:14  || others || Simon Bridges || Checked out progress on the International Convention Centre in Auckland a couple of weeks ago. This is a project National worked hard on to get underway when we were in government and we could do that because of our strong economic management. With 600 workers onsite every day, this is exactly the type of project we need more of in New Zealand.||
31/07/2019, 07:51  || others || Simon Bridges || Tauranga’s Prince of Pies takes it home again. Well done, Pat. Well-deserved.||
30/07/2019, 17:45  || others || Simon Bridges || Kiwis like Tracey Elliott deserve better cancer care. That's why as Prime Minister, my Government will invest $200 million extra into cancer drugs and establish a National Cancer Agency.||
30/07/2019, 14:19  || others || Simon Bridges || Speaking to media this morning about how New Zealanders want to see a Government that's focused on the issues that actually matter to them. What they're getting is a part-time PM and a part-time Government. In National, our bottom line is you.||
30/07/2019, 12:34  || others || Simon Bridges || Today my good mate Nathan Guy announced he'll be retiring from politics next year. By 2020, he will have spent 15 years in Parliament as a tireless advocate for our farmers and their communities. Thank you for the work you've done, Nathan. Best of luck for what comes next.||
29/07/2019, 15:57  || others || Simon Bridges || Last week at Parliament, I accepted Blair Vining’s 140,000-strong petition for better cancer care in New Zealand. Yesterday I was honoured to announce that my Government will deliver the cancer care Kiwis like Blair deserve. We'll invest $200 million extra into cancer drugs and establish a National Cancer Agency.||
28/07/2019, 10:08  || others || Simon Bridges || My crew joining dad on stage this morning.||
28/07/2019, 09:48  || others || Simon Bridges was live. || #LIVE: Media standup after my keynote speech.||
28/07/2019, 09:35  || others || Simon Bridges || I just announced that my Government will invest in the cancer treatment New Zealanders deserve. Read more here 28/07/2019, 09:02  || others || Simon Bridges was live. || #LIVE I'm delivering my keynote speech at the 83rd New Zealand National Party Conference in Christchurch.||
27/07/2019, 19:00  || others || Simon Bridges || My wonderful wife Natalie introduced me this morning at the National Party conference. She runs her own successful business, raises our three children Emlyn, Harry and Jemima and supports me as my friend, my advisor, the love of my life. Check out the video of her speech.||
27/07/2019, 17:00  || others || Simon Bridges || Tune in #LIVE tomorrow as I deliver my keynote speech at the 83rd National Party Conference.||
27/07/2019, 16:20  || others || Simon Bridges || A fantastic National Party Conference this weekend. We’re focused on building a New Zealand that helps Kiwis get ahead. Our bottom line is you.||
27/07/2019, 12:42  || others || Simon Bridges || ||
27/07/2019, 12:29  || others || Simon Bridges || Our bottom line: You.||
27/07/2019, 12:09  || others || Simon Bridges || Love catching up with our hardworking party members at the National Party Conference.||
27/07/2019, 10:22  || others || Simon Bridges || With my team at the start of the National Party Conference. Our bottom line is you.||
27/07/2019, 09:19  || others || Simon Bridges was live. || #LIVE: Opening the 83rd New Zealand National Party Conference in Christchurch.||
26/07/2019, 18:45  || others || Simon Bridges || Someone’s ready for the National conference...||
24/07/2019, 10:00  || others || Simon Bridges || I'm holding the Government to account on their taxes. They want to hold me to account on my accent. Doesn't bother me. I'll keep pointing out Labour's high taxes and how they're making it harder and harder for Kiwis to get ahead. As a priority, my Government will link tax brackets to the cost of living so you keep more of your own money.||
23/07/2019, 23:05  || others || Simon Bridges || Congratulations to Boris Johnson on becoming Prime Minister of the UK. Boris is a great friend of New Zealand.||
22/07/2019, 10:04  || others || Simon Bridges || Amazing work from our Silver Ferns. We are all so incredibly proud of you for bringing it home.||
21/07/2019, 09:48  || others || Simon Bridges || The Government is sending a clear message to New Zealanders, do as we say, but not as we do. Rather than slapping a Car Tax on hardworking Kiwis who can’t afford it, the Government should get their own house in order when it comes to EVs.||
19/07/2019, 18:40  || others || Simon Bridges || Speaking at Jonathan Young’s seniors morning tea this morning in New Plymouth. Like me with my kids, they told me they want a New Zealand where their grandkids stick around to build lives and careers here, instead of moving overseas. With a weakening economy, more taxes and higher costs under this Government, young Kiwis are choosing to move away. We can’t afford a Government that makes our best and brightest want to leave.||
19/07/2019, 15:30  || others || Simon Bridges || When I said Labour’s Car Tax would slap up to $3000 on Kiwis buying cars, I was wrong. It’s actually higher. Another hidden cost in the Government’s plans could hit the average new car with an extra $4500 in tax. A Holden Colorado could cost up to $6350 more under Labour’s Car Tax. Will Julie Anne Genter keep calling it a ‘small fee’ or will she finally acknowledge this is just another tax grab New Zealanders can’t afford.||
19/07/2019, 11:46  || others || Simon Bridges || Fantastic morning in New Plymouth with Jonathan Young. Spun the prize wheel on The Hits and spoke to hundreds of Taranaki locals at meetings around town. After an oil and gas ban, stalled roading projects and more taxes being piled on, Taranaki hasn’t had a fair go from this Government. Taranaki locals are resilient and know how to get on with the job but this Government is making it harder and harder. It’s becoming clearer that New Zealanders can’t afford this Government.||
18/07/2019, 17:30  || others || Simon Bridges || 14 years of marriage with my wonderful wife Natalie today. Here’s a picture from our wedding day. Three kids and lots of happy memories since then.||
18/07/2019, 14:39  || others || Simon Bridges || Loved getting around AUT Re-O Week today meeting young Kiwis.||
17/07/2019, 17:45  || others || Simon Bridges || Visiting Alltech in Henderson today with Chris Penk to learn about their work on reducing methane from cows. Our farmers are the most efficient food producers in the world and introducing agriculture into the Emissions Trading Scheme before the tools are available to address emissions will simply be a new tax on the sector and will hurt New Zealand. National has always been a strong supporter of technology not taxation.||
17/07/2019, 16:05  || others || Simon Bridges || Selfie time after a Caucus meeting with National's Youth MPs yesterday.||
17/07/2019, 12:50  || others || Simon Bridges || Out in Helensville today with Chris Penk and saw this. This morning the Government announced a plan that’ll see speed limits cut to 80km/h. But they won’t invest in new roads. If the Government is serious about wanting to save lives then it will reverse its policy of not investing in new roads, act on drugged drivers and put more money into road safety policing which saw a cut in the last Budget.... See more||
16/07/2019, 17:15  || others || Simon Bridges || Great to welcome my Youth MP Ben Sokimi to Wellington today for Youth Parliament. A wonderful opportunity for young people across New Zealand to get an insight into how Parliament works.||
16/07/2019, 14:54  || others || Simon Bridges || Talking to media this afternoon about Labour’s Car Tax. With cost of living up and Kiwis struggling to get ahead, the last thing New Zealand needs is another tax. New Zealanders can’t afford this Government.||
15/07/2019, 17:30  || others || Simon Bridges || Labour's Car Tax will slap thousands in tax on some of New Zealand's most popular cars. They're trying to sell the policy to Kiwis by saying it'll be revenue-neutral. But it looks like it'll actually be a massive tax grab. Just another tax Kiwis can't afford, from a Government they can't afford.||
15/07/2019, 10:01  || others || Simon Bridges || ||
14/07/2019, 08:46  || others || Simon Bridges || Figures out this morning show the Minister in charge of Labour's Car Tax has mislead Kiwis in saying the plan is revenue-neutral. Even if Labour's Car Tax doubles the number of efficient cars on our roads, the Government will pocket almost half a billion dollars in extra taxes. New Zealanders simply can't afford this Government. Kiwis can’t trust this Government on tax. They couldn't get their Capital Gains Tax past the public, so now they're trying to sell new taxes to New Zealanders by dressing them up as 'small fees' - as Julie Anne Genter likes to say.||
12/07/2019, 18:05  || others || Simon Bridges || Another fuel tax increase last week and now a new Car Tax from the Government that'll hit Kiwis who can least afford it. But they're still not investing in new roads. Where's it all going?||
11/07/2019, 16:30  || others || Simon Bridges || How good is ScoMo! Fantastic to catch up with PM Scott Morrison (ScoMo) today in Sydney. The relationship between our two countries is strong and means more than ever. I took the opportunity to congratulate him on passing his tax relief package last week that’ll see ordinary Australians keeping more of what they earn.... See more||
10/07/2019, 13:47  || others || Simon Bridges || When I was Transport Minister, I worked hard to get more electric vehicles onto New Zealand roads. But that never involved an unfair Car Tax that would hit hardworking Kiwis. Have a look at these tables to see which cars will get hit by Labour's Car Tax.||
09/07/2019, 18:01  || others || Simon Bridges || This morning the Government proposed ANOTHER tax on hardworking Kiwis. This time, they’ll make you pay more for your car. A Mazda CX-5 for example will be slapped with an extra $1500. With more fuel tax added last week, rents up $50 a week and the cost of living rising, it’s clear New Zealanders can’t afford this Government.||
08/07/2019, 17:27  || others || Simon Bridges || Hardworking New Zealanders are struggling to get ahead under this Government. Whether it's the latest fuel tax increase, rents being up $50 a week or rising electricity prices hitting families, it's clear that Kiwis can't afford this Government. Earlier this year, I announced what we'll do to make sure you keep more of what you earn. A National Government will link income tax brackets to inflation as a priority, ensuring income taxes are adjusted every three years in line wit... See more||
06/07/2019, 07:50  || others || Simon Bridges || Heading into the Budget lockup in May with my now Finance Spokesperson Paul Goldsmith. Unlike this Government, my team and I have a plan to help Kiwis get ahead. We understand a strong economy is what pays for health, education and infrastructure.||
04/07/2019, 14:43  || others || Simon Bridges || ||
02/07/2019, 18:05  || others || Simon Bridges || Every week I meet hardworking Kiwis at small businesses across New Zealand. They need a Government that backs them to get ahead and grow under their own steam. Right now they don't have that. Stats out today show business confidence is at a 10 year low under this Government - the worst it's been since the depths of the Global Financial Crisis. That means small business owners are less likely to invest in new equipment or take on more staff.... See more||
