 TIME || TYPE || TITLE || STATUS 

07/11/2019, 16:27  || others || Jacinda Ardern || A pretty historic moment - today we pass our Zero Carbon legislation into law. Tried to summarise what it means for New Zealand...||
02/07/2019, 22:05  || others || Jacinda Ardern || Spent the day today talking about the health of the Waipa and Waikato river (amongst other things) with Waikato Tainui, Ng01/07/2019, 14:58  || others || Jacinda Ardern was live. || #LIVE: Press conference 1 July 2019||
24/06/2019, 16:04  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet press conference 24 June 2019||
19/06/2019, 15:03  || others || Jacinda Ardern || We are lucky enough to have 1.2 million volunteers in New Zealand who give their time to all of us. This week is volunteer week and a chance to say thank you (my small version of that was spreading a little cupcake love to the wonderful people who bake weekly for groups like neonatal units, women’s refuge and those who are without homes.) Not sure I can claim it to be my baking when I cooked it, but it came from a box mix. But it’s the thought that counts, right?||
17/06/2019, 16:01  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet press conference 17 June 2019||
16/06/2019, 21:30  || others || Jacinda Ardern was live. || A quick thank you to a not so small, but very important group of New Zealanders....||
14/06/2019, 18:52  || others || Jacinda Ardern || Another big day at the Fieldays talking everything from mental health, innovations like turning plastic waste into farming products and farm management plans. Great to have some of our MPs dodge the fog to get there too!||
12/06/2019, 09:04  || others || Jacinda Ardern || Despite appearances, this is not an auction but rather the KPMG Agri- business breakfast at the Fieldays this morning. I’m in the Waikato (and my old hometown) for the next three days. Prepare yourself for a lot of nostalgic posts!||
10/06/2019, 15:59  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet press conference 10 June 2019||
07/06/2019, 12:43  || others || Jacinda Ardern || The weather held for a brief moment this morning while we announced the first stage of the roll out of cameras on commercial fishing vessels. We’re starting with the area we know Maui dolphins are present to try and ensure compliance and better protect them (we’re also putting out a new threat management plan for Maui and Hector’s dolphins this month, so watch this space!)||
06/06/2019, 15:40  || others || Jacinda Ardern || Been a while since I presented a good old power point - but this has been the third time in a week. Yesterday it was in West Auckland and today in Marlborough for the Chamber of Commerce and all on the well being budget - how we came up with it, what it means for New Zealand, and why it’s an investment that will save money (and lives) in the long term. Thanks for having me!||
04/06/2019, 15:05  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet press conference||
31/05/2019, 14:42  || others || Jacinda Ardern was live. || Just made a couple of Budget related visits and they are worth sharing!||
31/05/2019, 09:28  || others || Jacinda Ardern || Someone asked me last night what I was most proud of from the Budget we just announced - I’d say it was that we took on the hard stuff like mental health and we did something big that will make a difference. It was definitely a Budget for the people.||
30/05/2019, 16:41  || others || Jacinda Ardern was live. || And we’re back with post budget Q&A!||
30/05/2019, 15:17  || others || Jacinda Ardern was live. || Sorry for the interruption everyone - speech continues! You can watch the full speech here: https://www.youtube.com/watch?v=8HJmxFfGCD0&t=2s||
30/05/2019, 15:05  || others || Jacinda Ardern was live. || #LIVE: My Budget response speech You can watch the full speech here: https://www.youtube.com/watch?v=8HJmxFfGCD0&t=2s||
30/05/2019, 14:05  || others || Jacinda Ardern was live. || #LIVE: Minister of Finance's Budget Day Speech||
30/05/2019, 09:40  || others || Jacinda Ardern was live. || A few pre-Budget traditions for the morning.....||
29/05/2019, 17:34  || others || Jacinda Ardern was live. || Time for a quick pre budget catch up...||
27/05/2019, 16:01  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet Press Conference||
21/05/2019, 22:29  || others || Jacinda Ardern || Today the Pike River families finally witnessed the breaching of the 30m seal and the re-entry into the Pike River mine drift. When I saw these pictures from the site this afternoon I could only imagine how the families would have felt, having waited all these years. The work now continues to learn as much as we can about what happened at Pike, and to do that safely.||
20/05/2019, 16:01  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet Press Conference||
19/05/2019, 20:51  || others || Jacinda Ardern || We said one of the things we wanted to do this budget was break the cycle of family violence in New Zealand. Today we started with the biggest single investment to address family and sexual violence made in a budget, ever. It will mean we finally start trying to prevent harm, make sure victims have the support they need, and better coordinate the work we do as a government. Jan Logie has done a huge amount of work on this one (thanks Jan!) supported by all the team. Now we start.||
17/05/2019, 14:38  || others || Jacinda Ardern || Leaving France and trying to think of how to summarise the last few days. Ultimately, the ‘Christchurch Call’ to action was all about trying to prevent violent extremism and terrorism online, and ensure what happened in New Zealand to our muslim community never happens again. Along with France, we brought countries and tech companies together for the first time and had them commit to doing things differently. This is a first step, but a really important one. (Pictures cover meetings with civil society, tech companies, the summit itself, and bilateral meetings with the King of Jordan, and the Prime Ministers of Canada and the UK)||
16/05/2019, 20:11  || others || Jacinda Ardern was live. || A quick wrap on the Christchurch Call to action before we head home!||
13/05/2019, 11:37  || others || Jacinda Ardern || In the wake of the 15th of March, we learned what happened in Christchurch was unprecedented - it was a terrorist attack that was designed to go viral and do harm in so many ways. No New Zealander should have seen the terror attacks livestreamed on social media. That's why we're taking New Zealand's story to Paris, where we will rally tech companies and world leaders around the Christchurch Call. We know social media platforms are global - that means the way we eliminate violent extremist content online needs to be global too. Hear more about why it's so important we act:||
12/05/2019, 20:35  || others || Jacinda Ardern || For Mother’s Day we all got together for a pre Budget announcement! Today we announced that we’re extending Housing First by an extra 1000 places. Housing First doesn’t just house people, it breaks the cycle of chronic homelessness by providing support with whatever other needs someone may have like mental health or drug and alcohol issues. With the extra investment we’re putting in this budget, Housing First will have now have a total of 2700 places across Auckland, Rotorua, Hamilton, Wellington, Christchurch, Northland, Nelson, Tauranga and Hawke’s Bay. This is exactly the kind of thing a well being budget is all about. Happy Mother’s Day again! And thanks for having us Vision West.||
12/05/2019, 09:17  || others || Jacinda Ardern || Just when you thought you couldn’t be any more grateful for your mum than you already are, you have your own child and your appreciation for your own mum keeps growing with every day that passes. Happy Mother’s Day to all the mums, mums of mums, mums being mums by themselves, and all those who play mum for those who need one. I feel incredibly grateful to those who help me be a mother, but I’m especially grateful for my own.||
11/05/2019, 19:03  || others || Jacinda Ardern || Deeply saddened to hear that Sir Hekenukumai Busby has passed away. Sir Hek was a master of waka building and celestial navigation. It was my honour to be at the investiture for Sir Hek at Waitangi earlier this year. I will never forget the passion and love on display for him. He gave so much to the next generation and in turn, they honoured him. I wish you well on your final journey Sir Hek. May the waters be calm and the stars guide the way to your final resting place.||
09/05/2019, 11:05  || others || Jacinda Ardern || Feels fitting that the day after announcing our new Zero Carbon Bill we’re here, in Taranaki at the Just Transitions Summit, planning the pathway to our low emissions future. We just announced that a National New Energy Development Centre will be created here to lead the development of new clean energy technologies. We have a long way to go, but we’re starting.||
08/05/2019, 18:59  || others || Jacinda Ardern || Today we introduced the Zero Carbon Bill into parliament. It’s been a long time in the making, but we’ve worked really hard to build as much consensus as we can around the goal of becoming carbon neutral by 2050. We know climate change is happening, we can see it. This bill is the start of our journey as a country to do everything we can to limit warming to no more than 1.5 degrees. Thanks to all those who got us here, especially Hon James Shaw.||
08/05/2019, 10:30  || others || Jacinda Ardern was live. || #LIVE: Zero Carbon Bill announcement||
06/05/2019, 16:01  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet Press Conference 6 May 2019||
03/05/2019, 15:00  || others || Jacinda Ardern || Humbled to visit Pike River Mine today for the first time, alongside the families of the 29 men who lost their lives there. The reentry of the mine has been something they fought so hard for. We don’t yet know what we’ll learn from entering the drift, but no matter what, the legacy of Pike must be the responsibility we have to keep people safe at work.||
29/04/2019, 16:02  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet Press Conference||
25/04/2019, 07:21  || others || Jacinda Ardern || On this Anzac Day we remember all our veterans and their families, and acknowledge and thank all those who continue to serve on our behalf. Today we remember, we commemorate, and we recommit to peace.||
15/04/2019, 15:06  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet press conference||
08/04/2019, 16:04  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet press conference||
06/04/2019, 16:04  || others || Jacinda Ardern || It’s hard to write something that does 95 year old John Sato justice, so I’ll use the words he shared after recently taking four buses to get to a rally and show support for the Muslim community. This is what he had to say "I stayed awake quite a lot of the night. I didn't sleep too well ever since. I thought it was so sad. You can feel the suffering of other people..... I think it's such a tragedy, and yet it has the other side. It has brought people together, no matter what their race or anything. People suddenly realised we're all one. We care for each other." Thank you John. Your actions warmed the hearts of so many during a time of such sadness.||
06/04/2019, 12:43  || others || Jacinda Ardern || I remember when I was first elected a discussion started around the Erebus disaster and why, almost 40 years on, there was still no national memorial in New Zealand that families could visit. Today we finally announced the design for a memorial, one which was chosen by a panel that importantly included representatives of the families, and which will be completed next year. It’s been a long time coming but it’s been a privilege to be a small part of it.||
29/03/2019, 20:44  || others || Jacinda Ardern || I’ve struggled for words these last two weeks and so I haven’t placed any here. So for now, I will just leave this picture. It captures so much - both the grief and the love. Ko t25/03/2019, 15:28  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet press conference||
21/03/2019, 15:02  || others || Jacinda Ardern was live. || #LIVE Press conference: New Zealand bans military style semi-automatics and assault rifles If you need to speak to someone, or if you are feeling distressed, you can call or text 1737. There are extra staff available. That number is available to everyone.||
20/03/2019, 15:04  || others || Jacinda Ardern || ||
19/03/2019, 16:25  || others || Jacinda Ardern || FROM THE HOUSE: Prime Minister's Statement on Christchurch mosques terror attack||
18/03/2019, 17:05  || others || Jacinda Ardern was live. || #LIVE An update at this week's post-Cab press conference If you need to speak to someone, or if you are feeling distressed, you can call or text 1737. There are extra staff available. That number is available to everyone.||
17/03/2019, 16:11  || others || Jacinda Ardern was live. || #LIVE Press Conference from 4pm If you need to speak to someone, or if you are feeling distressed, you can call or text 1737. There are extra staff available. That number is available to everyone.||
16/03/2019, 09:27  || others || Jacinda Ardern was live. || #LIVE Press conference If you need to speak to someone, or if you are feeling distressed, you can call or text 1737. There are extra staff available. That number is available to everyone.||
15/03/2019, 19:24  || others || Jacinda Ardern was live. || #LIVE Update on Christchurch.||
15/03/2019, 16:32  || others || Jacinda Ardern || ||
13/03/2019, 12:23  || others || Jacinda Ardern was live. || Live chat on climate change. Please ask your questions in the comments!||
13/03/2019, 12:09  || others || Jacinda Ardern || About to kick off our live chat on climate change at Wellington College. Join us via FB at 1230!||
12/03/2019, 14:44  || others || Jacinda Ardern || There is no question that right now climate change is the biggest challenge we're facing internationally. This is an issue that young people need to have a voice on. That's why, tomorrow, we’re holding a live chat to give young people the chance to engage with our Government and ask us how we’re taking action on climate change. Find out more below and get involved – you can ask questions live, as it happens, or leave your questions in the comments.||
08/03/2019, 11:33  || others || Jacinda Ardern was live. || With the young man who helped bring Metallica to NZ!||
03/03/2019, 17:05  || others || Jacinda Ardern was live. || Happy Children’s Day! Spending the afternoon in not the most exotic of locations....||
28/02/2019, 17:23  || others || Jacinda Ardern || There are lots of long term challenges we need to face as a government and country, and one is definitely mental health. That’s why today we announced $79 million for the construction of new specialist mental health facilities in Canterbury. These include services for mothers and babies, as well as child, adolescent and family inpatient services and adults with high and complex needs. A huge thanks to the wonderful staff working in mental health, especially those who helped ...      See more||
28/02/2019, 11:41  || others || Jacinda Ardern || A very kind gift for Neve from St Mary’s College and one which passed a very critical check (the presence of NZ despite being dangerously close to a seam) Thanks for the invitation to speak, St Mary’s!||
26/02/2019, 15:36  || others || Jacinda Ardern || Spent the afternoon meeting some of the Oranga Tamariki team and then finished here, with Lifewise, talking about the work they do to support young people once they leave care. There are some wonderful examples out there (like the supported housing Lifewise offer to give real life flatting experiences) we just need more of it! And a big thank you to Minister Tracey Martin for the work she is doing on this, and who was off doing an interview when we got our sneaky group photo!||
24/02/2019, 14:34  || others || Jacinda Ardern || Reading briefings for the week ahead, but also catching a glimpse of the most magnificent performances. #tematatinikiteao||
23/02/2019, 18:18  || others || Jacinda Ardern || When you’re a twin, at least you always have company for the photos your family force you into. Happy birthday Dad and Uncle Ian- confusing me with your likeness since 1980.||
23/02/2019, 10:56  || others || Jacinda Ardern || Took this at the end of our day yesterday with Australian PM, Scott Morrison - complete with our former and current High Commissioner to Australia, the one and only Dame Annette King. Thanks for a really productive day of talks @scottmorrisonmp||
22/02/2019, 12:51  || others || Jacinda Ardern || Thinking of everyone in Christchurch today as we mark 8 years since the earthquake that took so much from so many. I often hear people talk about their lives literally being in two parts now - life before and life after the quakes. We have many responsibilities as governments when it comes to disasters and rebuilds, but one is that we must always keep an eye on the past while we try to build hope for the future.||
21/02/2019, 17:46  || others || Jacinda Ardern || If you’re in Wellington over the next few days, make sure you go to Te Matatini ki te Ao at Westpac Stadium. It’s the most incredible event and only happens every two years. I was lucky enough to see Te Iti Kahurangi perform an oriori they wrote for Neve Te Aroha. Thank you - it was beautiful!||
18/02/2019, 21:37  || others || Jacinda Ardern was live. || A bit of extra background on the announcement we made today...||
16/02/2019, 16:43  || others || Jacinda Ardern || Been a bit useless with the old frequency of posts these past few days! Headed back to Nelson on Thursday to check in with the fire and civil defence team, and visited one of the schools that has been temporarily relocated (you can see all the kids waving goodbye as we left - they were definitely making the best of a really tough time.) Popped into the Lantern Festival yesterday and also headed to Napier for their Art Deco celebrations, complete with a visit on one of our Navy vessels. We’ve had some fairly sizeable announcements this week too, like vocational training. Will try and do a quick FB live tomorrow with an update on all of that though.... till then!||
12/02/2019, 14:13  || others || Jacinda Ardern was live. || Today is the opening day of Parliament - you can watch my statement live now.||
07/02/2019, 12:20  || others || Jacinda Ardern || Incredible to see first hand the work going on to protect people, animals, homes and livelihoods from the Tasman fire. It’s incredibly dry, but the team on the ground tell me they have the resources they need as they tackle what is a fire with a 22km perimeter.||
07/02/2019, 11:56  || others || Jacinda Ardern was live. || Departing Nelson after a visit with our fire and civil defence teams||
06/02/2019, 07:01  || others || Jacinda Ardern was live. || With the team at our waitangi BBQ..||
03/02/2019, 20:49  || others || Jacinda Ardern was live. || A quick update on an announcement today, and what we’ll be up to for the next few days at Waitangi!||
03/02/2019, 20:26  || others || Jacinda Ardern || The beautiful Otamatea Marae where today we announced Provincial Growth Funding for Kaipara (including for roading...really important for an area where the majority of the roads are unsealed)||
02/02/2019, 23:26  || others || Jacinda Ardern || Happy Lunar New Year!||
01/02/2019, 19:24  || others || Jacinda Ardern || Going through another pack of postcards with ideas from parents, children and young people on what they’d like to see in the wellbeing strategy we’re working on. This was the only pictorial submission though01/02/2019, 13:46  || others || Jacinda Ardern || Despite the best efforts of a flock of birds above the airport, we made it to the National Iwi Chairs Forum - great way to start our time up at Waitangi (I’ll be back on Sunday!)||
27/01/2019, 19:31  || others || Jacinda Ardern || I’m learning that there are a few things you should avoid while jet lagged, feeding your child beetroot is definitely one of them....||
26/01/2019, 08:39  || others || Jacinda Ardern || Last day! Brilliant meetings with President of the European Council Donald Tusk, President of the European Commission, Jean-Claude Juncker, the NATO Secretary General and EU Commissioners. Now for the small matter of getting home. See you soon!||
24/01/2019, 21:59  || others || Jacinda Ardern || Great conversation this morning with the Prime Minister of the Netherlands around our trade relationship and climate issues....although I can’t tell you what exactly it was we were talking about when I apparently burst into spontaneous applause??!||
24/01/2019, 11:45  || others || Jacinda Ardern || Day two at Davos and it’s going to be pretty hard to sum it all up in one post! It included panels on GDP and well being, mental health, and trade talks. I can confirm I ventured outside a couple of times too....briefly. It’s still cold!||
23/01/2019, 19:19  || others || Jacinda Ardern was live. || Getting ready for day two of the World Economic Forum in Davos!||
23/01/2019, 07:39  || others || Jacinda Ardern || Listening to the incredible Sir David Attenborough talk about his appreciation of New Zealand bird life and his love of the K23/01/2019, 03:56  || others || Jacinda Ardern || Day one at the World Economic Forum in Davos. It’s not quite over yet but so far has involved talking trade and the Pacific Alliance with the Vice President of Peru, inequality with the CEO of Oxfam, mental health and climate change with Prince William and a few media stops to promote New Zealand. It’s also very, very cold!||
22/01/2019, 08:30  || others || Jacinda Ardern || Met with PM Theresa May this afternoon to discuss trade and Brexit amongst other things. NZ/UK have also now signed a mutual recognition agreement, which basically means whatever happens with Brexit our businesses will have continuity between the EU and UK. Now off to Davos!||
21/01/2019, 23:59  || others || Jacinda Ardern || Quick stop at the BBC. Not sure what question I was being asked here but pretty sure it wasn’t about satellite dishes or traffic flows...???||
21/01/2019, 22:46  || others || Jacinda Ardern || Started this morning at Lloyd’s with a Brexit discussion with business. Lots of support around the table for a future free trade agreement with New Zealand. As I left the Chairman was excited to see the sun had come out....I’m still looking!||
21/01/2019, 20:50  || others || Jacinda Ardern was live. || Quick update on the day ahead here in London!||
21/01/2019, 09:22  || others || Jacinda Ardern || We’ve arrived! Landed in London and headed straight to a New Zealand Trade and Enterprise event promoting NZ exports. Thanks @chefpetergordon for being such a wonderful ambassador for NZ products too!||
18/01/2019, 21:59  || others || Jacinda Ardern || My old friends were never far from me this summer 21/12/2018, 10:59  || others || Jacinda Ardern was live. || ||
18/12/2018, 15:22  || others || Jacinda Ardern || Someone was watching the final vote on the Child Poverty Reduction Bill in parliament just now. Very proud to have this bill finally pass, and with such wide support. Now to get on with it!||
14/12/2018, 22:21  || others || Jacinda Ardern || Spending Friday night going through these - postcards from young people who wanted to have their say on our child and youth well being strategy. Thanks to everyone who put time and effort into writing to me - so long as you keep writing, I’ll keep reading!||
14/12/2018, 00:37  || others || Jacinda Ardern || Kendra Cocksedge made history tonight - first woman to win the New Zealand Rugby Player of the Year. Felt very proud to be there.||
13/12/2018, 13:32  || others || Jacinda Ardern || Visited Papakura Marae this morning to talk about a housing project we’re investing in together, but also to see the work they’re doing with @aucklandcitymission to support families in the lead up to Christmas.||
06/12/2018, 16:33  || others || Jacinda Ardern || Invercargill! Few worksite visits and then this youth event in town. Thanks for having me everyone, and for the giant cheese rolls.||
05/12/2018, 15:07  || others || Jacinda Ardern was live. || Here with Minister James Shaw to introduce New Zealand Green Investment Finance Ltd||
04/12/2018, 12:29  || others || Jacinda Ardern || Almost ran backwards up an escalator when I saw this lot at the aiport - our incredible Football Ferns U17 team. They just came third at the World Cup making them the first New Zealand team to take a medal at a FIFA world tournament. Thanks for indulging me with a photo, we’re really proud of you!||
29/11/2018, 16:00  || others || Jacinda Ardern was live. || You’d be hard pressed to beat today on the West Coast!||
29/11/2018, 07:41  || others || Jacinda Ardern || I get to do many things in this job but taking bills through parliament isn’t usually one of them. But I hold the portfolio of child poverty reduction, and that means this week I had the privilege of leading on our child poverty bill. Very much looking forward to the bill passing really soon!||
26/11/2018, 23:18  || others || Jacinda Ardern || We’re all looking in different directions and we’ve lost Carmel Sepuloni, but this was at least some of the team at the Indian Newslink Business Awards tonight!||
24/11/2018, 13:47  || others || Jacinda Ardern was live. || Quick wrap of the week...||
23/11/2018, 14:20  || others || Jacinda Ardern || Two years after the Kaikoura earthquake, the Coastal Pacific rail service stared again today. Repairs were needed at more than 750 sites to get the train running again, but an amazing team of workers made it happen. It was a treat to be there for the first journey and to announce that with funding from the Provincial Growth Fund we’ll turn this into an all year round service, increase capacity, upgrade stations and bring more visitors through this beautiful part of the world.||
