 TIME || TYPE  || TITLE || STATUS  ||   LINKS(Shared Posts/Shared Links etc) 
03/10/2019, 09:23 || others || Paula Bennett || Labour is trying to convince Kiwis that its failure to deliver in health is National's fault. That's not true. National made record investments in health during our #9YearsOfProgress. || 
17/09/2019, 19:08 || others || Paula Bennett || Here's what happened when I tried to question the PM today. || 
11/09/2019, 17:10 || others || Paula Bennett || The resignation today of Nigel Haworth cannot be, in the Prime Minister's words, "the PR quick fix—usher the source of the controversy away." Yes, Mr Haworth needed to go, and it should have happened weeks ago, but what is also known is that the Prime Minister's own senior staff and a senior Minister have known the seriousness of the allegations but have not acted. || 
09/09/2019, 08:37 || others || Paula Bennett ||  || 
08/09/2019, 09:55 || others || Paula Bennett || The cover up continues || 
04/09/2019, 17:53 || others || Paula Bennett updated their cover photo. ||  || 
04/09/2019, 17:50 || others || Paula Bennett || Labour promised big on KiwiBuild. But they've well and truly failed to deliver. Here's what happened in today's KiwiBuild reset: || 
04/09/2019, 15:09 || others || Paula Bennett || This Government has failed to fully inform New Zelanders on the negative outcomes of legalisation, and what a 'yes' vote would actually look like because they don't know. Canada legalised less than 12 months ago. We should delay the referendum and wait for the evidence from Canada to come though. || 
03/09/2019, 19:46 || others || Paula Bennett || Today I meet with staff at the Dannevirke DHB working in addiction services. It was a great day in the Wairarapa! || 
02/09/2019, 19:10 || others || Paula Bennett || Many thanks to 'Queen of rugs' Farah and husband Bahman for hosting my Business After 5 Function tonight. Special mention to Casper the dog. Thanks to all those that came along. It was a good group with some lively discussion. || 
30/08/2019, 13:06 || others || Paula Bennett is with Carol Liddy. || Collecting for Daffodil Day with Cherry and Linda. If you are out today look out for collectors. Every bit helps. || 
27/08/2019, 17:56 || others || Paula Bennett || We’ve just launched our Economic Discussion Document. It’s packed full of plans to rebuild confidence in New Zealand’s economy and help New Zealanders get ahead. Read more and have your say here: https://www.national.org.nz/economy || 
26/08/2019, 17:02 || others || Paula Bennett || Today we launched our Economic Discussion Document that outlines our plan for a strong economy. National will require all government departments and agencies to pay their contractors on time and within 30 days, work with corporates to establish a 'Small Business Payments Guarantee', repeal 100 regulations in our first six months and rebuild confidence in our economy. Have a read and let us know what you think. || 
21/08/2019, 19:17 || others || Paula Bennett || If you can you should || 
21/08/2019, 15:27 || others || Paula Bennett || Latest poll on the legalisation of recreational marijuana highlights the fact that kiwis are starting to question the substance behind the Government’s flawed referendum proposals. https://www.newshub.co.nz/…/new-poll-suggests-recreational-… || 
20/08/2019, 13:47 || others || Paula Bennett || Love these guys and was privileged to speak || 
20/08/2019, 13:45 || others || Paula Bennett || What a fantastic day with the wonderful Louise Upston MP. || 
19/08/2019, 11:12 || others || Paula Bennett ||  || 
16/08/2019, 18:53 || others || Paula Bennett || Awesome day today in Hawkes Bay, a couple of drug reform public meetings where hundreds turned up and caught up with student leaders for breakfast. Thanks Lawrence for organising! || 
16/08/2019, 18:00 || others || Paula Bennett || This is great news given the range of harmful effects that marijuana use can have on the developing brain, and it’s great to see such positive steps being taken by our young people. However, the data does raise the question of why we are looking to make a harmful drug more readily available when we have evidence of declining use. https://www.tvnz.co.nz/…/cannabis-use-among-kiwi-high-schoo… || 
15/08/2019, 13:49 || others || Paula Bennett || In 2017, 44% of New Zealander's voted for National to govern our great country. Instead, we have a Government that is failing to deliver on its promises. I am thrilled to head into the 2020 General Election as National's Campaign Chair. This a massive commitment and one I want to give 100% of myself to, as such I won’t be seeking re-election as the MP for Upper Harbour but will be on the National Party’s List. We can’t afford another three years of this tax and spend Government, National is ready, organised and has the best team to lead this country! || 
09/08/2019, 10:04 || others || Paula Bennett ||  || 
04/08/2019, 12:05 || others || Paula Bennett || Our CPNZ (Community Patrols) do an amazing job around the country. I love being the patron of the Henderson McLaren Park patrol and had a great afternoon yesterday recognising their work || 
02/08/2019, 18:29 || others || Paula Bennett || Great day in Wellington today. Listened to many with drug addictions, interestingly most didn’t support legalising marijuana || 
31/07/2019, 23:19 || others || Paula Bennett ||  || 
31/07/2019, 20:20 || others || Paula Bennett ||  || 
31/07/2019, 20:19 || others || Paula Bennett || If business doesn’t have confidence then wages and jobs will suffer || 
31/07/2019, 19:33 || others || Paula Bennett || You can’t trust Labour on tax || 
30/07/2019, 05:27 || others || Paula Bennett || Great day in botany yesterday visiting business And community organisations then a public meeting on drug reform. Was well attended and plenty of questions and opinions. || 
29/07/2019, 17:04 || others || Paula Bennett || Lovely morning speaking to residents at Summerset in Hobsonville. This was the aftermatch cuppa || 
28/07/2019, 13:00 || others || Paula Bennett || We will support those with cancer so they don’t have to fundraise or mortgage their homes to get the drugs they desperately need. || 
27/07/2019, 14:14 || others || Paula Bennett || Our bottom line: You. || 
23/07/2019, 18:58 || others || Paula Bennett || More of your money being wasted because this government hasn’t got a plan || 
22/07/2019, 16:03 || others || Paula Bennett || If you're free next Monday and live in Botany, Simeon Brown MP and I are holding a Public Meeting on Drug Reform. Details below! || 
22/07/2019, 10:26 || others || Paula Bennett || Alongside the Government’s plan to tax higher-emissions vehicles it is also proposing a vehicle emissions target, meaning importers will be charged a penalty on vehicles that don’t come in under the target from 2025. That could slap an extra $4500 onto the import cost of an average new car and an extra $2250 onto the cost of an average used car – costs that will almost certainly be passed on to buyers. The actual cost of Julie Anne Genter’s car tax on Kiwis could be more than $6000 per vehicle, which is a bit more than the “small fee” she keeps talking about. || 
18/07/2019, 18:00 || others || Paula Bennett || Increases in drugged driving affect us all, and this Government needs to be doing more to help keep us safe on the road. || 
18/07/2019, 17:18 || others || Paula Bennett || Here’s an updated list of all the new taxes this Government is imposing on Kiwis. Labour’s Car Tax is just the latest cash grab New Zealanders can’t afford - from a Government they can’t afford. || 
17/07/2019, 18:00 || others || Paula Bennett || Kiwis can't trust this Government on Tax. Not content with the latest fuel tax, this Government is committed to telling hard-working kiwis what cars they should be driving. Have a look at the tables below to see which vehicles will be affected by Labour's Car Tax. || 
17/07/2019, 13:39 || others || Paula Bennett || The Government is telling Kiwis their new Car Tax is just a 'small fee.' But it's equivalent to more than two months of groceries. How out of touch can you get? New Zealanders can't afford this Government. || 
17/07/2019, 11:25 || others || Paula Bennett || Here's more on how Labour's Car Tax could affect road safety. If you're buying a safer car, you'll pay the Car Tax to subsidise unsafe cars. The Government also doesn’t seem to realise many of the cars they want to force Kiwis into driving with their Car Tax may be banned by the time the scheme comes into effect. || 
16/07/2019, 18:32 || others || Paula Bennett || Great day yesterday in Whanganui Waverley and Hawera with Harete Hipango. Met some amazing people working for their community, held a few meetings with businesses and the public and called into retail (it was work - honest!) || 
15/07/2019, 17:30 || others || Paula Bennett || Labour's Car Tax will slap thousands of dollars in tax on some of New Zealand's most popular cars. But the Minister reckons it's just a "small fee." Will Kiwis agree it's just a "small fee," Minister? || 
15/07/2019, 13:50 || others || Paula Bennett || Labour's Car Tax is penalising New Zealanders and affects us all, especially the farmers and tradies who simply can't get by with a suzuki swift. National is about standing up for hard-working kiwis against another tax they cannot afford. From a Government they cannot afford. || 
15/07/2019, 10:27 || others || Paula Bennett || I found this article really interesting. I have real concerns for our farmers and the survival of some rural communities if careful consideration isn't given to what planting 1 billion trees actually means. What do you think? https://www.nzherald.co.nz/business/news/article.cfm… || 
13/07/2019, 15:02 || others || Paula Bennett || Out door knocking and meeting locals (and visitors) at gorgeous Hobsonville Point. Push chair westie style!!! || 
10/07/2019, 10:52 || others || Paula Bennett || Labour's Car Tax will hit New Zealanders everywhere. If you're buying a Toyota Hiace, you'll be slapped with an extra $1400 fee, or up to $2000 for some of New Zealand's most popular small family cars like the Mazda CX-5 or the Hyundai Tucson. This Government is about more taxes and higher costs of living, with no relief in sight. || 
09/07/2019, 18:00 || others || Paula Bennett || In 2012 National started the alcohol and other drug treatment courts to help break the cycle of drug-based offending. They have been a proven success. Now, this Government has put current funding on hold and backtracked on rolling the programme out nationwide. || 
09/07/2019, 12:24 || others || Paula Bennett ||  || 
08/07/2019, 16:08 || others || Paula Bennett || My first interview with Peter Williams || 
06/07/2019, 16:12 || others || Paula Bennett || Kiwis have been hit with another 4 cents a litre in fuel taxes this week thanks to a Government that's all about taxing you more. Look how much more we pay compared to Australia and the US! || 
04/07/2019, 18:00 || others || Paula Bennett ||  || 
28/06/2019, 18:00 || others || Paula Bennett ||  || 
24/06/2019, 17:14 || others || Paula Bennett || Whether it’s traffic, building consents, or rates, we want to know what we can do to make Auckland Council more efficient and accountable. || 
24/06/2019, 09:11 || others || Paula Bennett || Labour told Kiwis there'd be no new taxes. Labour is failing to deliver on their promises. || 
21/06/2019, 15:00 || others || Paula Bennett || Wrangling the women for a photo || 
21/06/2019, 11:56 || others || Paula Bennett is with Caroline Batley and 2 others. || These ladies ended the night with great company and a great speaker. Thanks Julie Christie for sharing your experiences and teaching us some valuable lessons you have learnt. || 
20/06/2019, 11:20 || others || Paula Bennett || Today I’m proudly hosting our inaugural WiN conference. Women influencing National (WiN) is all about gathering women from a range of backgrounds and experience that support National and can influence our policy, direction and response to New Zealand’s challenges and exciting opportunities. National’s Dame Hilda Ross Memorial Fund, which was founded to promote greater opportunities for women in politics has been doing some great work over the years in our mentoring, financi... See more || 
19/06/2019, 11:23 || others || Paula Bennett || After a meningococcal outbreak took three kids’ lives in Northland, the Government rolled out a vaccination program. They said a global shortage meant they couldn’t vaccinate every child. That’s not true. Labour has failed to deliver for Northland’s children. || 
18/06/2019, 16:15 || others || Paula Bennett || I recently met with Fiona, a SMA sufferer and champion, about a lost opportunity in the recent budget to have money for rare diseases drugs funded. || 
14/06/2019, 17:48 || others || Paula Bennett || Nice to be at Whenuapai airbase today for the change of Base Commander. Congratulations Group Commander Andy! || 
14/06/2019, 13:00 || others || Paula Bennett || A bit of a throw back to last week when Andrew Falloon MP for Rangitata and Hamish Walker MP for Clutha-Southland hosted me in their electorates! Loved engaging with a wide range of their communities || 
14/06/2019, 09:00 || others || Paula Bennett || National is proud to support rural NZ. Yesterday, we launched our latest discussion document, this one on the primary sector. It contains 23 innovative new proposals to support rural communities and to grow the sector, and our economy. Check it out and give us your feedback 13/06/2019, 17:45 || others || Paula Bennett || I'm not one to back down so I surprised ZM's Bree & Clint after a week of calling me out! || 
12/06/2019, 17:09 || others || Paula Bennett || Surgeries are down in Waitemata DHB. Labour has promised a lot in health and they’re failing to deliver || 
10/06/2019, 22:01 || others || Paula Bennett || A good indication released today of where New Zealanders sit in relation to the PM's upcoming referendum on recreational marijuana || 
07/06/2019, 11:08 || others || Paula Bennett || We shouldn’t have to wait for the State Services Commission. Grant Robertson and Andrew Little, who claim to be part of the most open and transparent Government ever should tell us now what they knew. It’s time they stopped covering this up and let us know exactly what happened. || 
04/06/2019, 12:23 || others || Paula Bennett || Tonight at 7pm, Chris Penk and I will be holding a public meeting with Paul Goldsmith, National's Spokesperson for Transport. Come along and hear what he has to say about Auckland's transport woes. || 
31/05/2019, 11:35 || others || Paula Bennett || Just in case you missed it, Simon and Amy gave a brief summary of the Government's #BotchedBudget2019 || 
30/05/2019, 14:47 || others || Paula Bennett || #Watch Simon Bridges respond to this Government's botched Budget. || 
25/05/2019, 13:21 || others || Paula Bennett || A new National Party member!And I have another Anna! Thanks Simeon and Rebecca for letting me have cuddles || 
23/05/2019, 11:24 || others || Paula Bennett added an event. ||  || 
21/05/2019, 22:55 || others || Paula Bennett || Today we welcomed Paulo Garcia as our newest MP for National. I have known Paulo for years and he is a man of integrity, heart and knows hard work, he also understands the privilege it is to be a representative of the people. Congratulations to him, his family and to kiwi Filipinos || 
21/05/2019, 07:59 || others || Paula Bennett || When pets can't escape domestic violence, neither can those who love them. || 
19/05/2019, 10:23 || others || Paula Bennett ||  || 
17/05/2019, 18:40 || others || Paula Bennett || Gisborne, you were great. A big thank you to Anne Tolley for showing me around her electorate! || 
17/05/2019, 11:55 || others || Paula Bennett || Chris Penk and I hosted David White in Westgate last night. If you have the opportunity to listen to David speak, on his 'Harm Ends, Futures Begin' tour, take it. He is a compelling speaker and an incredible human being. Take tissues, and be prepared to come away questioning what you think you know about domestic violence, it's victims, perpetrators and the community. || 
17/05/2019, 09:54 || others || Paula Bennett || Under this Labour-led Government, more New Zealanders are moving overseas. Why? #TakeTheQuiz to find out! || 
14/05/2019, 15:52 || others || Paula Bennett || Karen is calling for the House to urgently pass legislation to introduce random roadside drug testing in the name of her son Matthew who was killed in a drug driving accident. Sign Matthew's petition https://www.parliament.nz/en/petitions/sign/PET_82698 and share this post || 
13/05/2019, 10:14 || others || Paula Bennett || Come along this Thursday to Te Manawa, meet David White and listen to him speak about family violence and his campaign to stop it. Te Manawa is the beautiful new library complex/community space, in Westgate right beside the restaurants outside the Northwest Mall. See you there! || 
12/05/2019, 09:07 || others || Paula Bennett ||  || 
09/05/2019, 11:03 || others || Paula Bennett added an event. ||  || 
08/05/2019, 15:03 || others || Paula Bennett || I have real concerns about this bill currently going through Parliament. This bill tells police to not prosecute anyone for using or possessing any drugs - without ensuring there are enough health services to help people. || 
01/05/2019, 09:51 || others || Paula Bennett || Excited to be receiving a petition for funding of the SMA drug nusinersen today! Stay tuned for photos after midday! || 
30/04/2019, 12:56 || others || Paula Bennett || Chris Penk - MP for Helensville, and I are hosting David White on his Harm Ends, Futures Begin tour. Please come along and hear about his experience with domestic violence and the tragic loss of his daughter Helen. || 
26/04/2019, 10:00 || others || Paula Bennett || Check out this 'Superpower' mural at Bayview Primary School. I enjoyed getting to choose my superpower with some of the staff and students from the school. || 
25/04/2019, 06:00 || others || Paula Bennett ||  || 
24/04/2019, 11:55 || others || Paula Bennett || My thoughts on why I support the End of Life Choice Bill || 
20/04/2019, 09:30 || others || Paula Bennett || It’s been over a week since my birthday and I thought I would share a video I received from a fellow sweetie - Thanks Tom Sainsbury - Comedian and Snapchat Dude! || 
19/04/2019, 08:30 || others || Paula Bennett || Happy Easter folks! || 
18/04/2019, 15:15 || others || Paula Bennett ||  || 
18/04/2019, 13:35 || others || Paula Bennett || Some more wasteful spending from this Labour-led Government. || 
17/04/2019, 14:00 || others || Paula Bennett || I've been out and about in the electorate. Here's what I'm hearing. || 
17/04/2019, 08:59 || others || Paula Bennett || Since taking on the role of the National Party spokeswoman for drug reform I have discovered from the sometimes very personal messages that everyone's experience with drugs is different. || 
16/04/2019, 11:49 || others || Paula Bennett || National will fight the proposed Capital Gains Tax every step of the way. || 
11/04/2019, 10:18 || others || Paula Bennett || #BTS My youth MP, Jordan came in yesterday and helped me prep my question in the House to the Prime Minister. He is going to be great! || 
10/04/2019, 15:17 || others || Paula Bennett || Today I voiced my position on the End of Life Choice Bill after hearing stories and experiences from families and constituents in my Upper Harbour electorate. When this Bill comes to the House for second reading, I will be voting to support it. || 
08/04/2019, 15:49 || others || Paula Bennett || I loved officially opening ORO Cafe in Glen Eden. New jobs, great food and more importantly, great coffee! On a side note, my ribbon cutting is getting better! Make sure you pop down to ORO cafe, 371 West Coast Road! || 
05/04/2019, 13:21 || others || Paula Bennett || I've had a fantastic morning in the electorate. I visited three schools and an early childhood centre. I met some of tommorows leaders, today. || 
04/04/2019, 14:58 || others || Paula Bennett || I had a great time today at Columba College in Dunedin, where they invited me to share my experiences about leadership. What a great idea to hold a mentoring day for young women in college! || 
04/04/2019, 11:52 || others || Paula Bennett || Michael Woodhouse and I this morning met with Young Enterprise Leaders and discussed leadership. These students were engaged and inspiring! || 
01/04/2019, 19:13 || others || Fiona Tolich  to  SMA NZ || I am so privileged to be supporting all these mums and dads and children with SMA. I’m not an expert but I want to help in any way I can. || 
01/04/2019, 17:36 || others || Paula Bennett || Here’s how I spent my Saturday afternoon. Beautiful wedding! || 
01/04/2019, 10:47 || others || Paula Bennett || Before our week begins in the house, here's a quick look back at my visit with Sarah Dowie MP in Invercargill, followed with a visit to Jacqui Dean MP's Oamaru. Great time seeing and engaging with these communities! || 
26/03/2019, 21:06 || others || Paula Bennett || Loved my time in Invercargill with Sarah Dowie MP!! || 
22/03/2019, 13:32 || others || Paula Bennett ||  || 
20/03/2019, 16:50 || others || Paula Bennett || Hobsonville Point residents. Due to the horrific events of last Friday, I feel that it is best to postpone this weeks Meet your MP event. Thank you for those that have RSVP'd,we will be in touch when a new date is set. || 
12/03/2019, 14:10 || others || Paula Bennett || Looking forward to meeting you all in Hobsonville Point next Friday the 22nd. Come along and have a chat in an informal environment. My team will look after you with a sausage sizzle and refreshments. || 
09/03/2019, 07:46 || others || Paula Bennett || Day 2 of the fishing comp. || 
08/03/2019, 19:30 || others || Paula Bennett || I am lucky to have a strong group of women around me. Happy international Women’s Day to all the women out there! || 
08/03/2019, 11:30 || others || Paula Bennett || Heading out on the ladies reel fishing competition in paihia. With Jo Seager, on opposing teams but secretly I think she rocks. Tight lines! || 
07/03/2019, 15:52 || others || Paula Bennett is with Elizabeth Taylor and Tania McInnes. || The women up North are awesome! Had a great time speaking today at a lunch at twin pines haruru falls. || 
07/03/2019, 14:32 || others || Paula Bennett || Labour’s Tax Working Group has proposed that farmers will pay a Capital Gains Tax of more than $600,000 for an average dairy, sheep or beef farm if they sell it ten years’ time. What’s worse is the Tax Working Group has also proposed a whole series of unnecessary environmental taxes that will cost thousands more. This is a tax grab, plain and simple. || 
04/03/2019, 12:14 || others || Paula Bennett || No one likes a whinger and they like a politician trying to garner sympathy even less. But last week's opinion piece by Jay Kuten has motivated me to respond. || 
02/03/2019, 11:54 || others || Paula Bennett || The students from Westland high school cooked breakfast for Maureen Pugh and others as part of their NCEA. They did a great job. Thank you!!!! || 
01/03/2019, 11:59 || others || Paula Bennett || Labour’s Tax Working Group proposes taking more of what you earn. Part of the tax grab includes your retirement savings. We’ve worked out that the average KiwiSaver member would have $64,000 less for their retirement.... that’s a whole year of wages for the average worker. || 
27/02/2019, 13:54 || others || Paula Bennett || My day so far in Hokitika with Maureen Pugh || 
27/02/2019, 05:21 || others || Paula Bennett || Looking forward to this next week, join Erica and me! || 
25/02/2019, 15:23 || others || Paula Bennett || #WATCH Simon this morning talk about the proposed Capital Gains Tax and what it'll mean for you || 
20/02/2019, 19:53 || others || Paula Bennett || Today I met with Rt Hon Nick Herbert a UK MP and Blair Gibbs about Drug Reform. It was interesting to discuss what is happening there, in the US and in Canada. We agreed on a “proceed with caution” approach. || 
18/02/2019, 19:00 || others || Paula Bennett || Met with Graham from Otago Helicopter Trust. They do incredible work saving lives. || 
18/02/2019, 15:02 || others || Paula Bennett || From the “where am I” favourite comment was the 1980’s Miami Vice. Actually had a great day at Otago O’week. Really impressive bunch of students. There with Simeon Brown MP and Harete Hipango MP. Not a Labour MP in sight and I’m told there won’t be one there all week. || 
18/02/2019, 11:03 || others || Paula Bennett || Guess where I am!! || 
15/02/2019, 21:36 || others || Paula Bennett || Lovely evening with Denise Lee MP at the Fiji NZ Times Business Awards || 
14/02/2019, 17:37 || others || Paula Bennett || May come as a surprise to some, but I was disappointed to see the Police continuing to spend resources on aerial cannabis operations. Not only does it threaten the supply of medicinal cannabis to the most vulnerable, but also drives up the price for recreational use – often turning people to more harmful stuff like meth. || 
12/02/2019, 11:58 || others || Paula Bennett || Really looking forward to starting a weekly political panel on Breakfast tomorrow. Just a shame there won’t be anyone from Labour there. C’mon Kelvin Davis Grant Robertson Phil Twyford Chris Hipkins MP Andrew Little Megan Woods - MP for Wigram... whatever happened to open and transparent? || 
08/02/2019, 21:26 || others || Paula Bennett is with Simon Bridges. || Great 2 day caucus, one of the best I’ve been to with ideas flowing, work plans in place and a great bunch of people to do it all with!! One highlight was hearing from Julie Bishop. || 
06/02/2019, 20:07 || others || Paula Bennett || Here’s the latest offering at Hobsonville Point in my electorate. Little Creatures offers outstanding food and drinks, is right by the ferry and even has an awesome play area for the kids. That’s Rupert the manager who employs around 100 people at hobby. The queues were long to get in today at their official opening but I’m sure you will walk in any other day straight away as it’s the largest bar in New Zealand (or so I’m told). || 
05/02/2019, 20:40 || others || Paula Bennett is with Simon Bridges. || Big day with a large National team led by Simon Bridges At Waitangi, still one of the most beautiful places in NZ || 
05/02/2019, 12:49 || others || Paula Bennett || Group photo with Hikutaia School! Thanks for having me! || 
05/02/2019, 11:47 || others || Paula Bennett || Thank you Hikutaia School for inviting me to meet with you in Waitangi today! As a thank you, they sung me a song. Best gift ever! || 
01/02/2019, 15:31 || others || Paula Bennett || Welcome to the neighbourhood. Great to have Physio Connect opening a couple of doors down from my electorate office in Westgate. || 
30/01/2019, 17:01 || others || Paula Bennett || Here's Simon Bridges giving you the break down of how we'll adjust your income taxes every three years to keep in line with the cost of living when we're in Government 24/01/2019, 16:06 || others || Paula Bennett || Great day out at Ratana. Enjoyed Simon’s speech, he stated that all treaty settlements should be completed by 2024 and challenged Maori to really think through the consequences of cannabis legalisation || 
23/01/2019, 08:04 || others || Paula Bennett ||  || 
22/01/2019, 12:09 || others || Paula Bennett || I am excited to tackle this new challenge as the National Party's Spokesperson for Drug Reform. I am committed to getting stuck in and to hold this Labour-led government to account! || 
21/01/2019, 15:37 || others || Paula Bennett || Day out on the HMNZS Canterbury for family day. I have a huge amount of respect for our armed forces. Thanks to the Navy for their hospitality and the outstanding job they do for NZ. || 
21/01/2019, 11:16 || others || Paula Bennett || It makes no sense that with unemployment so low and with jobs for the taking there's literally over 10,000 more people on the Jobseeker benefit than this time last year. The Government's gone soft. There's absolutely no reason why we should give up on the expectation that people put serious effort into finding a job. (Credit: 1 NEWS) || 
16/01/2019, 16:54 || others || Paula Bennett || Here’s another one from last night. Taken by Peter Kiely- I was convinced I could fly it until I realised the joystick wasn’t made for a cocktail frock so I opted for maintaining a bit of dignity!! || 
15/01/2019, 22:34 || others || Paula Bennett || Lovely evening on the HMS Montrose visiting from the UK. I admire the work of our defence forces || 
15/01/2019, 22:04 || others || Paula Bennett || Loved the tennis this year, great matches and great to catch up with some great people || 
12/01/2019, 18:29 || others || Paula Bennett || So...... tomorrow, this goes on sale. Thanks so much to NEXT magazine for working so hard to make me presentable!!! || 
12/01/2019, 14:41 || others || Paula Bennett || Awesome day at the tennis. Ready for the singles men final and caught up with friends Jess and Tom Hendriks. || 
11/01/2019, 17:16 || others || Paula Bennett || http://nzh.tw/12188794. I’m taking bookings! .... not for the funerals, just the weddings || 
21/12/2018, 13:21 || others || Paula Bennett || Merry Christmas! || 
18/12/2018, 15:50 || others || Paula Bennett || 6 years ago today and still got the leopard hat. Merry Christmas! || 
13/12/2018, 10:39 || others || Paula Bennett || Turns out there are benefits to being his deputy . . . 07/12/2018, 12:52 || others || Paula Bennett || Everyone needs to get online and free Jase and Jay-Jay from Jingle Bail. Better yet come down and see them at Northwest and donate there. https://www.morefm.co.nz/…/network/2018/12/more-fm-jingle-b… || 
07/12/2018, 11:27 || others || Paula Bennett || Students hugging their teacher at graduation. That’s what happens when you back the young people, care for them and passionately believe in them. Thank you vanguard military school for changing lives. The graduation ceremony brought many tears to my eyes as I saw the pride the young people had in themselves. || 
07/12/2018, 10:18 || others || Paula Bennett is with Barbara Stevens. || 7 days final show for the year and they put me through my paces. || 
05/12/2018, 17:42 || others || Paula Bennett || We will stand here day after day and ask questions on behalf of New Zealanders on serious matters that the Prime Minister can duck and can dive and can avoid and can just use a lot of words but not actually say anything—virtue signaling and making everyone try and feel better without actually answering the questions that the public deserves. Day after day they've been asked and they have not been answered. || 
04/12/2018, 08:11 || others || Paula Bennett || It's beginning to look a lot like Christmas 30/11/2018, 13:58 || others || Paula Bennett || Great day so far at Palmerston North. Really interesting meetings and engagement with great people. Thanks Adrienne Pierce !!! || 
29/11/2018, 18:52 || others || Paula Bennett || Says it all.... || 
28/11/2018, 09:04 || others || Paula Bennett || The star needed to go on the top of the tree!! || 
28/11/2018, 08:17 || others || Paula Bennett || An extraordinary, exceptional, historic day #suffrage125vote || 
26/11/2018, 19:06 || others || Paula Bennett || Our families and communities thriving is what drove me to be a politician. Please have your say (& yes that's my grandkids staring). || 
